,ア,イ,ウ,エ,オ,ヤ,ユ,ヨ,イェ
ア,あ,い,う,え,お,や,ゆ,よ,いぇ
カ,か,き,く,け,こ,きゃ,きゅ,きょ,きぇ
サ,さ,し,す,せ,そ,しゃ,しゅ,しょ,しぇ
タ,た,ち,つ,て,と,ちゃ,ちゅ,ちょ,ちぇ
ナ,な,に,ぬ,ね,の,にゃ,にゅ,にょ,にぇ
ハ,は,ひ,ふ,へ,ほ,ひゃ,ひゅ,ひょ,ひぇ
マ,ま,み,む,め,も,みゃ,みゅ,みょ,みぇ
ラ,ら,り,る,れ,ろ,りゃ,りゅ,りょ,りぇ
ワ,わ,ゐ,う,ゑ,を,ゎ,,,
ァ,ぁ,ぃ,ぅ,ぇ,ぉ,ゃ,ゅ,ょ,
ガ,が,ぎ,ぐ,げ,ご,ぎゃ,ぎゅ,ぎょ,ぎぇ
ザ,ざ,じ,ず,ぜ,ぞ,じゃ,じゅ,じょ,じぇ
ダ,だ,ぢ,づ,で,ど,ぢゃ,ぢゅ,ぢょ,ぢぇ
バ,ば,び,ぶ,べ,ぼ,びゃ,びゅ,びょ,びぇ
パ,ぱ,ぴ,ぷ,ぺ,ぽ,ぴゃ,ぴゅ,ぴょ,ぴぇ
ウァ,うぁ,うぃ,う,うぇ,うぉ,,,,
ファ,ふぁ,ふぃ,ふ,ふぇ,ふぉ,ふゃ,ふゅ,ふょ,
ヴァ,ゔぁ,ゔぃ,ゔ,ゔぇ,ゔぉ,ゔゃ,ゔゅ,ゔょ,
ティ,つぁ,てぃ,とぅ,つぇ,つぉ,てゃ,てゅ,てょ,
ディ,,でぃ,どぅ,,,でゃ,でゅ,でょ,
クァ,くぁ,くぃ,く,くぇ,くぉ,くゎ,,,
グァ,ぐぁ,ぐぃ,ぐ,ぐぇ,ぐぉ,ヵ,,,ヶ
